reaction,flux,dilution,metabolite,reaction
EX_cpd00082_m,0.0148985999999999,0.1,cpd00082_m,EX_cpd00082_m
EX_cpd00027_m,0.0148985999999999,0.1,cpd00027_m,EX_cpd00027_m
EX_cpd00108_m,0.0148985999999999,0.1,cpd00108_m,EX_cpd00108_m
EX_cpd00138_m,0.0148985999999999,0.1,cpd00138_m,EX_cpd00138_m
EX_cpd00314_m,0.0148985999999999,0.1,cpd00314_m,EX_cpd00314_m
EX_cpd00751_m,0.0148985999999999,0.1,cpd00751_m,EX_cpd00751_m
EX_cpd00222_m,0.0148985999999999,0.1,cpd00222_m,EX_cpd00222_m
EX_cpd00396_m,0.0148985999999999,0.1,cpd00396_m,EX_cpd00396_m
EX_cpd00224_m,0.0178783,0.1,cpd00224_m,EX_cpd00224_m
EX_cpd01242_m,0.0178783,0.1,cpd01242_m,EX_cpd01242_m
EX_cpd00105_m,0.0178783,0.1,cpd00105_m,EX_cpd00105_m
EX_cpd00154_m,0.0178783,0.1,cpd00154_m,EX_cpd00154_m
EX_cpd00180_m,0.0446957,0.1,cpd00180_m,EX_cpd00180_m
EX_cpd00208_m,0.0074492999999999,0.1,cpd00208_m,EX_cpd00208_m
EX_cpd00179_m,0.0074492999999999,0.1,cpd00179_m,EX_cpd00179_m
EX_cpd00076_m,0.0074492999999999,0.1,cpd00076_m,EX_cpd00076_m
EX_cpd03198_m,0.0074492999999999,0.1,cpd03198_m,EX_cpd03198_m
EX_cpd00158_m,0.0744929999999999,1.0,cpd00158_m,EX_cpd00158_m
EX_cpd00794_m,0.0744929999999999,1.0,cpd00794_m,EX_cpd00794_m
EX_strch1_m,0.257339,1.0,strch1_m,EX_strch1_m
EX_cpd00265_m,1.57e-05,1.0,cpd00265_m,EX_cpd00265_m
EX_amylose300_m,4.7e-05,1.0,amylose300_m,EX_amylose300_m
EX_cpd12115_m,0.000166277,1.0,cpd12115_m,EX_cpd12115_m
EX_cpd11699_m,2.19e-05,1.0,cpd11699_m,EX_cpd11699_m
EX_cpd11970_m,0.000306649,1.0,cpd11970_m,EX_cpd11970_m
EX_bglc_m,7.05e-08,1.0,bglc_m,EX_bglc_m
EX_cpd11746_m,2.82e-05,1.0,cpd11746_m,EX_cpd11746_m
EX_cpd11658_m,0.000176323,1.0,cpd11658_m,EX_cpd11658_m
EX_cpd00656_m,1.41e-05,1.0,cpd00656_m,EX_cpd00656_m
EX_cpd11955_m,3.2899999999999987e-05,1.0,cpd11955_m,EX_cpd11955_m
EX_homogal_m,0.000128235,1.0,homogal_m,EX_homogal_m
EX_cpd11602_m,0.000470195,1.0,cpd11602_m,EX_cpd11602_m
EX_kestopt_m,0.002821167,1.0,kestopt_m,EX_kestopt_m
EX_cpd11851_m,1.41e-05,1.0,cpd11851_m,EX_cpd11851_m
EX_lmn30_m,0.000470195,1.0,lmn30_m,EX_lmn30_m
EX_cpd00370_m,8.3e-05,1.0,cpd00370_m,EX_cpd00370_m
EX_cpd05262_m,3.34e-05,1.0,cpd05262_m,EX_cpd05262_m
EX_pullulan1200_m,1.18e-05,1.0,pullulan1200_m,EX_pullulan1200_m
EX_cpd00382_m,0.004701945,1.0,cpd00382_m,EX_cpd00382_m
EX_rhamnogalurI_m,1.4499999999999997e-05,1.0,rhamnogalurI_m,EX_rhamnogalurI_m
EX_rhamnogalurII_m,0.000266987,1.0,rhamnogalurII_m,EX_rhamnogalurII_m
EX_starch1200_m,1.18e-05,1.0,starch1200_m,EX_starch1200_m
EX_cpd11732_m,3.21e-05,1.0,cpd11732_m,EX_cpd11732_m
EX_xyluglc_m,1.31e-05,1.0,xyluglc_m,EX_xyluglc_m
EX_cpd00188_m,0.0003328,0.1,cpd00188_m,EX_cpd00188_m
EX_cpd00160_m,0.0004958,0.1,cpd00160_m,EX_cpd00160_m
EX_cpd00100_m,0.1799655,0.1,cpd00100_m,EX_cpd00100_m
